,UDP,,DNSSEC,,HTTPS,,TLS,
Sites,time(in sec),UDP Bandwidth(bytes/sec),Time(seconds),DNSSEC Bandwidth(bytes/sec),Time(seconds),HTTPS Bandwidth(bytes/sec),time(in sec),TLS Bandwidth(bytes/sec)
,,,,,,,,
Google.com,0.884,905.216,0.004,1260.544,0.008,1173.504,0.872,892.928
Tmall.com,0.937,959.488,0.009,1173.504,0.005,1112.064,0.929,951.296
Youtube.com,0.92,942.08,0.013,1154.048,0.007,1113.088,0.918,940.032
Facebook.com,0.873,893.952,0.013,1169.408,0.004,1097.728,0.851,871.424
Qq.com,0.873,893.952,0.017,1339.392,0.01,1297.408,0.92,942.08
Baidu.com,0.944,966.656,0.016,1190.912,0.009,1143.808,0.888,909.312
Sohu.com,1.017,1041.408,0.016,1196.032,0.01,1111.04,0.902,923.648
Taobao.com,0.918,940.032,0.004,1159.168,0.023,1112.064,0.914,935.936
360.cn,0.911,932.864,0.005,1255.424,0.013,1213.44,0.857,877.568
Jd.com,1.011,1035.264,0.008,1207.296,0.014,1115.136,0.9,921.6
Amazon.com,0.904,925.696,0.005,1325.056,0.005,1292.288,0.874,894.976
Yahoo.com,0.962,985.088,0.03,1212.416,0.013,1178.624,0.937,959.488
Wikipedia.org,0.873,893.952,0.006,1147.904,0.009,1083.392,0.936,958.464
Weibo.com,0.941,963.584,0.017,1148.928,0.005,1110.016,0.881,902.144
Xinhuanet.com,0.905,926.72,0.014,1138.688,0.021,1112.064,0.871,891.904
Zoom.us,0.882,903.168,0.005,1532.928,0.009,1554.432,0.87,890.88
Live.com,0.92,942.08,0.013,1209.344,0.009,1256.448,0.8,819.2
Netflix.com,0.904,925.696,0.015,1369.088,0.014,1348.608,0.889,910.336
Microsoft.com,0.894,915.456,0.01,1385.472,0.005,1385.472,0.877,898.048
Reddit.com,0.953,975.872,0.013,1352.704,0.013,1281.024,0.893,914.432
Office.com,0.923,945.152,0.016,1276.928,0.014,1201.152,0.862,882.688
Instagram.com,0.94,962.56,0.009,1243.136,0.023,1172.48,0.861,881.664
Google.com.hk,0.917,939.008,0.014,1131.52,0.017,1078.272,0.866,886.784
Adobe.com,0.924,946.176,0.01,1837.056,0.009,1678.336,0.881,902.144
Linkedin.com,0.904,925.696,0.009,1037.312,0.004,1342.464,0.884,905.216
Amazon.in,1.244,1273.856,0.019,1318.912,0.018,1176.576,0.89,911.36
Aliexpress.com,0.858,878.592,0.014,1245.184,0.008,1143.808,0.869,889.856
Ebay.com,0.93,952.32,0.005,1487.872,0.014,1427.456,0.906,927.744
Amazon.co.jp,0.887,908.288,0.005,1070.08,0.01,1258.496,0.892,913.408
Whatsapp.com,0.885,906.24,0.006,1266.688,0.019,1207.296,0.873,893.952
